2021-05-13 10:10:52.621 [http-nio-8080-exec-4] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 686129
2021-05-13 10:12:07.728 [http-nio-8080-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 75069
2021-05-13 10:13:33.889 [http-nio-8080-exec-9] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 86126
2021-05-13 10:21:39.759 [http-nio-8080-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 485835
2021-05-13 10:43:04.325 [http-nio-8080-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 413266
2021-05-13 10:44:36.538 [http-nio-8080-exec-10] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 79503
2021-05-13 10:46:22.690 [http-nio-8080-exec-2] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 106111
2021-05-13 12:17:18.856 [http-nio-8080-exec-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 63013
2021-05-13 12:50:34.047 [http-nio-8080-exec-6] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 141465
2021-05-13 12:57:56.288 [http-nio-8080-exec-3] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 220939
2021-05-13 13:32:15.888 [http-nio-8080-exec-8] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 1725308
2021-05-13 13:36:37.670 [http-nio-8080-exec-7] WARN  com.alibaba.druid.pool.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/eduOnline?autoReconnect=true&useUnicode=true&characterEncoding=utf8&serverTimezone=GMT%2B8, version : 1.2.5, lastPacketReceivedIdleMillis : 76302
